,Temperature
2023-01-01,-0.26918278987234884
2023-01-02,-0.4061595618397815
2023-01-03,-0.19008375600074043
2023-01-04,-0.21694173427676228
2023-01-05,-0.22175610874903776
2023-01-06,-0.4304932580024648
2023-01-07,-0.4663755509115905
2023-01-08,-0.27663085315085834
2023-01-09,-0.28847416262405956
2023-01-10,-0.3725165292824966
2023-01-11,-0.35623973520736635
2023-01-12,-0.16380648418691796
2023-01-13,-0.13620090900140847
2023-01-14,-0.3855099715787914
2023-01-15,-0.062014802172677096
2023-01-16,0.02067896477941312
2023-01-17,-0.07659399661984792
2023-01-18,-0.1369552299457265
2023-01-19,-0.10270287559516765
2023-01-20,-0.13779246389396632
2023-01-21,-0.231518713504262
2023-01-22,-0.5383657809427562
2023-01-23,-0.849715906718331
2023-01-24,-0.9170232878003304
2023-01-25,-1.0773937478976663
2023-01-26,-1.2634571698469936
2023-01-27,-1.1805138148058705
2023-01-28,-1.3390116451325014
2023-01-29,-1.4988690093993722
2023-01-30,-1.4837535255704908
2023-01-31,-1.4866437754776451
2023-02-01,-1.4673096035938469
2023-02-02,-1.5799201559064708
2023-02-03,-1.5560327362133186
2023-02-04,-1.4975871530021436
2023-02-05,-1.3327400186090506
2023-02-06,-1.222448075729979
2023-02-07,-1.039020430950196
2023-02-08,-0.9171141322404529
2023-02-09,-0.9076096206642615
2023-02-10,-0.6932820434477455
2023-02-11,-0.6661688706084645
2023-02-12,-0.9803546872631856
2023-02-13,-0.9676055160884541
2023-02-14,-0.9547651882777344
2023-02-15,-0.8490513067453204
2023-02-16,-0.7258310711877352
2023-02-17,-0.9552603288582509
2023-02-18,-0.8387076101567292
2023-02-19,-0.8896754403632173
2023-02-20,-0.7077557298855922
2023-02-21,-0.8720609299098938
2023-02-22,-0.7964289826985257
2023-02-23,-0.733058158679282
2023-02-24,-0.7809774000269316
2023-02-25,-0.8354313880064991
2023-02-26,-0.6481944554708777
2023-02-27,-0.4559980150531268
2023-02-28,-0.21550734388109255
2023-03-01,0.010730450028245781
2023-03-02,-0.2480151397727547
2023-03-03,-0.12550714489240555
2023-03-04,-0.08614361542919635
2023-03-05,0.07746955814902014
2023-03-06,0.1788649882226523
2023-03-07,0.353619603758906
2023-03-08,0.5130939667686282
2023-03-09,0.5490960975992262
2023-03-10,0.6690991523892885
2023-03-11,0.7605344310782015
2023-03-12,0.8465818415170726
2023-03-13,0.9150349859199401
2023-03-14,0.9335828813185738
2023-03-15,1.2314349597795942
2023-03-16,1.1949867089572872
2023-03-17,1.0929240514385858
2023-03-18,1.0170230381837948
2023-03-19,1.264111142714905
2023-03-20,1.428450253571673
2023-03-21,1.3313265701490617
2023-03-22,1.3103829936412796
2023-03-23,1.2856388832103998
2023-03-24,1.2022847973569954
2023-03-25,1.4315739203151456
2023-03-26,1.4478463720327197
2023-03-27,1.5360806900054036
2023-03-28,1.4283806916777
2023-03-29,1.5687600373610966
2023-03-30,1.6537329593405468
2023-03-31,1.685416502279873
2023-04-01,1.7513856202390041
2023-04-02,1.7318125361990773
2023-04-03,1.6509286404554036
2023-04-04,1.5937176087843288
2023-04-05,1.4213893159817428
2023-04-06,1.3225156611442233
2023-04-07,1.1844687187610423
2023-04-08,1.3163085415773645
2023-04-09,1.178473766360367
2023-04-10,1.0185175405731786
