,Temperature
2023-01-01,0.9366440611506724
2023-01-02,0.9332084146183975
2023-01-03,0.6937509578359436
2023-01-04,0.8141826902249055
2023-01-05,1.1612987815151805
2023-01-06,1.147985167134309
2023-01-07,1.105417752643816
2023-01-08,0.9265563179240422
2023-01-09,1.0456378183326007
2023-01-10,1.0265087729810656
2023-01-11,1.2318815191176997
2023-01-12,1.0419565683670176
2023-01-13,0.8561355124685255
2023-01-14,1.1122729424119988
2023-01-15,1.0367707202447727
2023-01-16,1.1482877796392057
2023-01-17,1.280635901476179
2023-01-18,1.489233569483085
2023-01-19,1.5202554955905645
2023-01-20,1.3930134687289484
2023-01-21,1.2333958510589211
2023-01-22,1.4185992848218225
2023-01-23,1.3537877277701327
2023-01-24,1.1097132699806607
2023-01-25,1.1731247877871203
2023-01-26,0.9586313757041293
2023-01-27,0.9097366710741693
2023-01-28,0.764227714639663
2023-01-29,0.6770413639662043
2023-01-30,0.6130958278573422
2023-01-31,0.5685644246157363
2023-02-01,0.6466494408566387
2023-02-02,0.595874382790043
2023-02-03,0.551932661808009
2023-02-04,0.6194061509609361
2023-02-05,0.5983151489784234
2023-02-06,0.3952715923853017
2023-02-07,0.21505414198146508
2023-02-08,0.12096441187030199
2023-02-09,0.17237200814292064
2023-02-10,0.23286918651161947
2023-02-11,0.27861901192803784
2023-02-12,0.31769854331515046
2023-02-13,0.3122011703557382
2023-02-14,0.14769287793548178
2023-02-15,0.25807280674022365
2023-02-16,0.40307713932703826
2023-02-17,0.32615782836470836
2023-02-18,0.10971266179158215
2023-02-19,0.16423711295617302
2023-02-20,-0.1255873852368246
2023-02-21,-0.2646908078798501
2023-02-22,-0.11922187466964294
2023-02-23,0.2276553142823615
2023-02-24,0.2764131523517146
2023-02-25,0.04906137139005896
2023-02-26,-0.0734945768830705
2023-02-27,0.19654988678255705
2023-02-28,0.4806457983669973
2023-03-01,0.32840525463030446
2023-03-02,0.23929874040745092
2023-03-03,0.2512002488404329
2023-03-04,-0.17177669121018596
2023-03-05,-0.02290318549204931
2023-03-06,-0.10906338620839703
2023-03-07,-0.37738608489701225
2023-03-08,-0.4640246967640444
2023-03-09,-0.42306193948211496
2023-03-10,-0.4615307564073011
2023-03-11,-0.4487501647409891
2023-03-12,-0.6273602282764532
2023-03-13,-0.5781280651354838
2023-03-14,-0.6088045982538983
2023-03-15,-0.524514481525824
2023-03-16,-0.5743880976864935
2023-03-17,-0.6160651366573029
2023-03-18,-0.5973281136638985
2023-03-19,-0.6941449706166981
2023-03-20,-0.6964460961188527
2023-03-21,-0.6601020695980593
2023-03-22,-0.7054446361479836
2023-03-23,-0.6422381344546014
2023-03-24,-0.8501012680962169
2023-03-25,-0.9844561809352862
2023-03-26,-1.3872354842027916
2023-03-27,-1.5298448462350744
2023-03-28,-1.4755814709069923
2023-03-29,-1.5794615580191993
2023-03-30,-1.6003891635041476
2023-03-31,-1.6320407095689426
2023-04-01,-1.6778426660980663
2023-04-02,-1.7776708971406694
2023-04-03,-1.8115783054895762
2023-04-04,-1.9446420099160253
2023-04-05,-2.012658343292045
2023-04-06,-1.9752078842298078
2023-04-07,-2.0491394592990417
2023-04-08,-2.1206590284264983
2023-04-09,-2.230610150311896
2023-04-10,-1.9713849535371872
