,Temperature
2023-01-01,2.3442666522560214
2023-01-02,2.4536736544663507
2023-01-03,2.4059036896947723
2023-01-04,2.332175059659537
2023-01-05,1.9651993387465934
2023-01-06,1.4258438140195595
2023-01-07,1.1892758777252195
2023-01-08,1.260285370906008
2023-01-09,0.9306310176703996
2023-01-10,1.2793486054032477
2023-01-11,1.310516976625645
2023-01-12,1.288497089416334
2023-01-13,1.1957638176153975
2023-01-14,0.8945604317013254
2023-01-15,0.8787425226046677
2023-01-16,1.0285616127338846
2023-01-17,1.24083913230824
2023-01-18,1.2850970432923008
2023-01-19,1.0121752615982658
2023-01-20,1.095246300270988
2023-01-21,0.9443541794196517
2023-01-22,0.8264313266614018
2023-01-23,0.33857908698505396
2023-01-24,0.08875903863425492
2023-01-25,0.3072043525303975
2023-01-26,0.3954659984095981
2023-01-27,0.4039197129592771
2023-01-28,0.14424700125178125
2023-01-29,0.3161056598146473
2023-01-30,0.4409846569268953
2023-01-31,0.4541118743624086
2023-02-01,0.3499942751143305
2023-02-02,0.22661946368438257
2023-02-03,0.018949457978544713
2023-02-04,-0.1816814897184182
2023-02-05,-0.03252281676661379
2023-02-06,-0.22457645952218905
2023-02-07,-0.2438033025240453
2023-02-08,0.17761950216494438
2023-02-09,0.3813915866951054
2023-02-10,0.0679661498076738
2023-02-11,-0.3380300538590584
2023-02-12,-0.1795247378173718
2023-02-13,-0.12681367456943313
2023-02-14,0.06368023654613188
2023-02-15,0.12165813867419216
2023-02-16,0.4218478662764929
2023-02-17,0.7782206456960086
2023-02-18,0.7398075958026257
2023-02-19,0.8546513364651199
2023-02-20,0.7835368712057559
2023-02-21,0.3406970564795302
2023-02-22,0.38919565688558716
2023-02-23,0.7857174222944769
2023-02-24,0.07660701658545147
2023-02-25,0.05951911321479605
2023-02-26,0.12322407568868882
2023-02-27,0.11353921939063655
2023-02-28,-0.12286844854531875
2023-03-01,-0.41815588350254507
2023-03-02,-0.5161137950724911
2023-03-03,-0.5184778817311445
2023-03-04,-0.8193966992357372
2023-03-05,-0.6373113915637605
2023-03-06,-0.6534187872323545
2023-03-07,-0.4394207326116732
2023-03-08,-0.42317931194133973
2023-03-09,-0.475433946626318
2023-03-10,-0.5822347491198883
2023-03-11,-0.5903870956989179
2023-03-12,-0.7812312394501479
2023-03-13,-0.7603000668223081
2023-03-14,-0.9998034179796086
2023-03-15,-0.8907170548345635
2023-03-16,-0.36512063997643124
2023-03-17,-0.6540014045778049
2023-03-18,-0.4873530375880204
2023-03-19,-0.5630401087381981
2023-03-20,-0.689433433045292
2023-03-21,-0.6456025641131461
2023-03-22,-0.7943621736940427
2023-03-23,-0.8650001552418833
2023-03-24,-0.9297854025049059
2023-03-25,-0.9408849067715576
2023-03-26,-0.6146246666206209
2023-03-27,-0.7682733080172148
2023-03-28,-0.8026965376368074
2023-03-29,-1.0107911812579244
2023-03-30,-1.3668138404934393
2023-03-31,-1.3458959802042179
2023-04-01,-1.2344007696019061
2023-04-02,-1.2607414966003152
2023-04-03,-1.370317606892155
2023-04-04,-1.7925154831439822
2023-04-05,-1.7284460488581674
2023-04-06,-2.0415306519970158
2023-04-07,-2.0475957353604928
2023-04-08,-1.7143539801461027
2023-04-09,-1.6610989670082767
2023-04-10,-1.7011257264854476
